Skills (Competencies),Operational Definition,Potential Strength,Development Considerations,Behavioral Interview Question 1,Behavioral Interview Question 2
Achievement orientation,The drive and passion to achieve one's goals and excel in them.,"Sets ambitious goals and works diligently to achieve them, with high levels of drive and persistence. 
1. Goes above and beyond what is expected and delivers high-quality work.
2. Remains committed and focused on one's objectives and avoids getting sidetracked. 
3. Actively tracks down opportunities for professional development and pursues them.","Has little to no interest in pursuing opportunities for one's professional growth and is content with the status quo. 
1. Often gets overly focused on the tasks at hand and does not pay adequate attention to the results it is generating.
2. Tends to set simpler goals and is reluctant to set ambitious goals. 
3. Seldom contributes meaningfully to the team discussions to help raise the bar.","Describe a situation in which you surpassed expectations or accomplished great success. How did you achieve this?
1. Can you provide additional information about the initial expectations? How were they defined?
2. What helped you accomplish these remarkable results?
3. How did you keep track of your progress? What were your performance metrics?","Can you describe a time when you took advantage of an opportunity that allowed you to develop your skills and achieve better results?
1. Why did you feel the need to sharpen your skills?
2. What was the opportunity? Why did you consider it?
3. How did it help you achieve better results?"
Adaptability,"The ability to make appropriate responses to changed or changing situations, modify or adjust one's behavior in meeting different circumstances or different people.","Adjusts one’s mindset, plans, and behaviors according to new circumstances or challenges 
1. Adjusts one's mindset and approach to tasks to adapt to the changing environment. 
2. Works well with and collaborates effectively with others from diverse backgrounds. 
3. Stays updated on the industry trends to be better prepared for upcoming or anticipated changes.","May become overwhelmed by changes and find it difficult to adapt one's behavior to the changing organizational requirements.
1. Experiences difficulty adapting to new situations due to focusing on the broader aspects of the change and ignoring the specifics. 
2. Takes longer than usual to adjust one's priorities as one holds on to familiar routines. 
3. Struggles to focus on the positive aspects of change and becomes rigid in one's approach.","Tell us about the last time the original plan for a project you worked on had to be altered because of unforeseen events.
1. What was the plan, and why did it have to be altered? 
2. How did you cope with the changes?
3. How did you approach the modification, and what was the outcome?","Has it ever happened that you changed or modified your work priorities to accommodate group expectations?
1. What was the situation, and what was the group's expectation? 
2. What steps did you take to modify or change your priorities?
3. How did it influence the outcome?"
Attention to detail,The ability to actively process specific information in the environment while tuning out other details.,"Demonstrates a strong commitment to quality and completes tasks with precision. 
1. Often manages to sustain one's focus for long hours while dealing with detailed information. 
2. Takes proactive steps and sets up structures to ensure that details are not overlooked. 
3. Notices gaps in the information and double-checks them to maintain accuracy.","May overlook pertinent information and struggles to complete tasks accurately. 
1. Tends to be disorganized and deliver work of varying quality due to rushing through tasks. 
2. Rarely filters out distractions and focuses on the particulars of the task at hand.
3. May not fully realize the need for accuracy and how it directly impacts the outcomes.","Tell us about a time when your attention to detail helped you catch a critical error. 
1. What was the situation? What was the error?
2. How did you first learn about the error? How did you confirm it? 
3. How did you rectify the error? What did you take away from this experience?","Describe a time you had to sift through detailed information for work. 
1. What was the nature of the information?
2. How did you approach this task? What was your biggest challenge?
3. if you were to do this again, what would you change?"
Big Picture Thinking,"The ability to come up with ideas, solutions, and opportunities. This also involves seeing possibilities and grabbing opportunities.","Considers possibilities and emerging trends to identify and capitalize on opportunities. 
1. Understands the ripple effects of one's decisions by comprehending how different pieces of the system work together.
2. Masterfully assesses the risks and benefits of each potential opportunity to make informed decisions. 
3. Identifies emerging trends and adapts strategies and approaches to capitalize on potential opportunities.","Has a narrow focus and struggles to identify potential business opportunities. 
1. Tends to focus on resolving current issues in isolation without considering their impact on the bigger picture. 
2. Struggles to capitalize on potential opportunities as a result of a limited understanding of how different elements work together. 
3. May often get fixated on the everyday details and lose sight of potential opportunities and possibilities.","Describe a time when you wish you would have considered the broader implications of your decision.
1. What was the situation? What was the decision taken?
2. What was the outcome? Why do you think you should have considered the broader implications of your decision?
3. Would you change anything if you were to relive this experience?","Describe a time when you seized an opportunity that others may have overlooked.
1. What was the opportunity? How did you notice it?
2. Why did you think you should act on this opportunity? 
3. What was the outcome? What did you take away from this experience?"
Coaching,"The ability to extend advice, guidance, and counseling with a focus on an individual's needs and accomplishments, close observation, and impartial and non-judgmental feedback on performance.","Inspires others to improve their performance by providing timely feedback based on close observation. 
1. Assists others in reaching their maximum potential by helping them pursue the right learning opportunities. 
2. Co-creates a development plan, evaluates the progress against established goals, and holds others accountable.
3. Maintains and upholds the utmost levels of professionalism and confidentiality expectations.","Finds it tough to provide adequate career support to others based on individual-specific requirements. 
1. Overlooks the importance of collaborative goal setting in helping others advance in their careers. 
2. Has a tendency to deliver feedback subjectively and in a manner that undermines others. 
3. Rarely holds others accountable for their actions and process towards their goals.","Tell us about the last time you had to coach somebody on his/her performance. 
1. What was the situation?
2. How did you give feedback? How did you prepare yourself to give effective feedback? How did you ensure simplicity and comprehension?
3. What was the outcome? If you were to redo this, would you change anything?","Share an example of a time when you faced somoeone who seemed unmotivated or lacked commitment.
1. What specific signs or behaviors did you observe that led you to believe they were unmotivated or lacked commitment?
2. Did you uncover any underlying reasons or challenges that were contributing to the person's lack of motivation or commitment?
3. What strategies or techniques did you use to help the person rekindle their motivation and commitment? Can you provide specific examples of interventions or exercises you employed?"
Collaboration Skills,"The intent is to collaborate with other members of formal and informal groups in the pursuit of common missions, vision, values, and mutual goals and place team needs and priorities above individual needs.","Fosters a collaborative environment by encouraging open communication and building strong relationships with team members and stakeholders.
1. Resolves conflicts and differences constructively, seeking mutually beneficial solutions.
2. Promotes open and transparent communication by actively sharing relevant information with team members.
3. Establishes positive relationships with team members and contributes to the team's development of trust and respect.","Has a limited comprehension of how one's actions affect the team and its shared goals.
1. Is seldom prompt to share information required for the timely completion of tasks and projects. 
2. Prefers working independently and rarely shares ideas and perspectives with team members. 
3. Has difficulty resolving conflicts and disagreements, resulting in strained team relationships.","When was the last time you found it tough to work in a team setting?
1. Why was it tough to work in a team setting? What were some of the challenges you faced on the team? 
2. Did you take any measures to work collaboratively with the team?
3. What was the outcome? What did you take away from this experience?","Give an example of a time you handled a conflict in the team successfully. 
1. What was the conflict? 
2. Why did you decide to help resolve it? What steps did you take?
3. What was the outcome? What lessons did you learn from this experience?"
Commercial Acumen,"The ability to combine experience, knowledge, perspective, and awareness to make sound business decisions while considering a holistic, long-term view of organizational needs.","Frequently takes a strategic approach to business decisions, ensuring they benefit the organization as a whole.
1. Has a thorough understanding of the larger context of one's business and uses it to drive strategic goals. 
2. Regularly evaluates the risks and analyzes the pros over cons to make prudent business decisions.
3. Is solution-oriented and takes a proactive approach to business challenges to foster organizational success.","Has a limited understanding of the market dynamics in which the business operates. 
1. May prefer to make decisions based on intuition or hunch instead of analyzing available data. 
2. May overlook the long-term gains as a result of focusing on the short-term gains. 
3. Struggles to establish strong partnerships that benefit the organization as a whole.","Tell us about the last business decision you had to make. 
1. What was the decision? Why did you make it? 
2. What steps did you take before you made this decision? What were the alternatives available to you? 
3. What did you learn during this process? How would you approach similar decision-making in the future?","Share an instance when you actively contemplated a business decision's long-term consequences.
1. How was the decision made? What were the long-term implications of the decision?
2. Were there any risks involved? How did you plan to mitigate them?
3. What was the outcome? Did it change the way you approach decision-making?"
Contextualization of knowledge,The process of testing and verification of knowledge to indicate the degree to which the knowledge being developed by the learners is connected to the world beyond the abstractions of the classroom.,"Understands the importance of being able to apply one's knowledge to various real-life problems. 
1. Actively looks for resources like recent industry reports and uses case studies to improve one's understanding. 
2. Explores the commercial or practical implications of one’s knowledge through discussions and projects. 
3. Skillfully adapts the theoretical knowledge and insights one has gained to a variety of situations.","Needs to work on bridging the gap between theory and practice and focus on applicability to real-world problems. 
1. Struggles to adapt or apply theoretical knowledge to various contexts effectively. 
2. Experiences difficulty considering the practical implications of what one has learned. 
3. May demonstrate little to no creativity and innovation when solving problems or making decisions at work.","Tell us about a time when you successfully applied theoretical knowledge to a real-world problem. 
1. What was the situation? 
2. How did you adapt your understanding to address the specific challenges and constraints of the situation?
3. What was the outcome?","Tell us about a time when you applied your knowledge or expertise to a new and unfamiliar situation.
1. How did you contextualize your knowledge?
2. What steps did you take to ensure its effectiveness in that context?
3. What was the outcome? What did you take away from this experience?"
Courage and risk-taking,The ability to face one's fears and try something different and intimidating by developing and stretching one's mindset and embracing challenges.,"Believes in oneself and one's abilities, and acts with fortitude despite ambiguity or roadblocks.
1. Takes calculated risks to investigate possibilities and pursue creative ideas.
2. Accepts challenging tasks as a result of viewing roadblocks as growth opportunities.
3. Takes full responsibility for one's decisions and learns from setbacks or errors.","Prefers to stick to tried and tested methods and shows a tendency to play it safe and maintain the status quo.
1. Has a tendency to attribute responsibility for the outcomes of one's decisions to external factors or influences.
2. May overemphasize possible adverse consequences rather than potential positive outcomes.
3. Has difficulty recuperating from setbacks, which inhibits risk-taking in the future.","Describe a time when you displayed courage and took calculated risk-taking at work.
1. What was the situation? What pushed you to take the calculated risk? 
2. How did you weigh the benefits against the risks before making your choice? What steps did you take to reduce the risks of your decision?
3. What was the result? How did this change your approach to risk-taking at work?","Describe a time when you voluntarily took on a challenging task or project.
1. Why was the task challenging? Why did you decide to volunteer? 
2. Did you face any unexpected challenges? How did you handle those?
3. What did you learn from this experience about stepping out of your comfort zone?"
Creative Problem Solving,"The ability to identify and analyze problems; weigh the relevance and accuracy of information; 
generate and evaluate alternative solutions; and make recommendations.","Formulates rational and innovative ideas harnessing available resources. 
1. Exhibits creativity in generating viable solutions and enlists the associated potential outcomes. 
2. Assesses the relevance and accuracy of information using analytical skills, and uncovers missing information.
3. Offers actionable solutions with minimal risk by contemplating their broader impact to achieve desired results.","Tries to force-fit solutions and relies on conventional problem-solving methods. 
1. Typically finds it tough to define problems accurately, and focuses more on the symptoms. 
2. Exhibits a tendency to rely on available or provided information without evaluating its accuracy.
3. Rarely looks for alternative solutions or considers ways to mitigate potential risks.","Describe a time when you had to use unconventional methods to solve a challenging or complex problem.
1. What was the problem? Why was it so hard to solve using conventional methods?
2. What unconventional approaches did you consider? How did you come up with them?
3. Did this experience change your perspective on problem-solving or encourage you to explore more unconventional approaches in the future?","Explain a time when you recommended a creative solution to a problem. 
1. What was the problem? What was the solution?
2. How did you come up with a creative solution? Did you find ways to mitigate risks? Did you see any resistance to your solution?
3. Did the solution achieve the desired results? Why or why not?"
Critical Thinking,"The ability to solve a problem by recognizing assumptions, evaluating the arguments, and then drawing conclusions about the problem.","Considers alternative perspectives and approaches to the problem before reaching a conclusion.
1. Clarifies information and challenges information by asking probing questions to draw conclusions. 
2. Draws well-supported and accurate conclusions by employing evidence-based thinking. 
3. Can adapt one's approach in light of new information.","May jump to conclusions without fully evaluating evidence or considering different perspectives. 
1. Tends to avoid seeking clarity on the available information by asking probing questions. 
2. Is often resistant to altering one's perspective or thought processes upon arriving at the conclusion. 
3. Experiences difficulty in evaluating arguments or situations for the presence of logical fallacies or errors.","Can you provide an example of a situation where you had to anticipate potential obstacles or risks before implementing a solution? 
1. How did you plan ahead and mitigate those risks?
2. What techniques or tools did you use to analyze and evaluate the likelihood and severity of the anticipated obstacles or risks?
3. What was the final outcome of implementing the solution? Were the anticipated obstacles or risks successfully mitigated or managed?","When was the last time you questioned the validity of an argument or challenged an assumption?
1. What was the argument or the assumption?
2. Why did you feel the need to question it? What steps did you take? Did you try to convince others that there's an error? 
3. What was the outcome? What did you learn from the situation?"
Dealing with uncertainty,The ability to adapt and cope constructively with unprecedented situations or events.,"Functions competently despite limited information or uncertain outcomes.
1. Recognizes and deals with issues and hurdles in an uncertain environment.
2. Makes decisions based on the thorough analysis of available information. 
3. Maintains composure and focuses on maintaining productivity during unprecedented situations.","Tends to be indecisive due to the lack of clear information in the face of unprecedented situations. 
1. May get overwhelmed and rely heavily on others when faced with unprecedented or novel situations to cope with them. 
2. Finds it tough to be optimistic and is less likely to take active steps to cope constructively with unprecedented situations. 
3. Needs to work on communicating one's perspective clearly to avoid confusion and misunderstanding.","Describe a time you had difficulty adjusting to an uncertain situation.
1. What was the situation, and how did you adapt to it?
2. What was the outcome? Why do you think it was not the best way to deal with it?
3. If you were to do it again, what would you do differently?","When was the last time you were happy with how you handled your emotions and stress levels in the face of an unanticipated situation? 
1. What was the situation? What made this situation unanticipated?
2. What did you do to manage your emotions or stress levels during this situation? 
3. How did it influence the outcome? If you were to do it again, would you change anything?"
Developing others,"The ability to share one's knowledge, skills, or expertise with others, and encourage and reinforce individual and professional development through support, recognition, and motivation.","Is committed to providing adequate support and direction to others to aid in their professional development.
1. Acknowledges and nurtures individual strengths and encourages them to reach their full potential. 
2. Offers opportunities for others to learn from their mistakes. 
3. Assumes responsibility for fostering an atmosphere that promotes individual development.","Has little to no interest in sharing one's knowledge or expertise with others to aid in their professional development.
1. Find it tough to provide opportunities for others to hone their skill set and reach their full potential. 
2. Rarely engages in productive feedback sessions when working with others.
3. May not actively foster an environment conducive to professional growth.","Tell us about a time when you delegated a challenging task to someone to help them grow and develop. 
1. How did you assess the skills and capabilities of the individual to determine their readiness for the task?
2. How did you communicate expectations and provide clear guidelines for the task?
3. How did you provide feedback and recognition to the individual upon completion of the task?","Describe a time when you supported someone in acquiring a new skill.
1. What was the new skill? 
2. How did you provide support? Did you track their progress? 
3. What did this experience teach you about yourself? Could you have supported them in a better manner? If yes, how?"
Driving change and innovation,The ability to bring in radical or incremental shifts or improvements and introduce and implement new ideas.,"Actively challenges the status quo by identifying opportunities for change and implementing it. 
1. Quickly adapting one's approach in response to changing conditions by thinking creatively. 
2. Knows how to persuade stakeholders to gain support for pursuing innovative ideas. 
3. Ensures that innovative and creative ideas are put into actionable plans.","Tends to accept the status quo without challenging or assessing the possibility of change.
1. Is inflexible and may stick to a predetermined course of action. 
2. Experiences difficulty in gaining others' support as a result of not effectively communicating the value of change. 
3. Has a limited understanding of how to assess the impact of change.","Describe a time when you introduced and implemented a new idea or process to improve the status quo. 
1. What was the proposed idea or procedure, and what was the underlying reason? 
2. Did you face any particular difficulties or obstacles? Were you able to gain stakeholder support? How?
3. What was the outcome? In the future, how would you approach similar situations?","Give an instance in which you persuaded others to embrace change at work.
1. How did you convince others to adopt the change?
2. How did you convey the benefits and implications of the change? 
3. What was the outcome? In the future, how would you approach similar situations?"
Empathetic,The ability to sense others' feelings and genuinely seek to understand and respect others' perspectives and emotions.,"Exhibits genuine care and concern for others' perspectives, emotions, and general well-being.
1. Can effectively use both verbal and nonverbal clues to show support and understanding.
2. Tends to use a positive tone and language and helps others to accomplish their assigned responsibilities. 
3. Asks queries to confirm one's understanding and responds appropriately.","Lacks the motivation to show concern for the perspectives, emotions, and well-being of others.
1. May struggle to build rapport with others as a result of prioritizing one's needs and emotions. 
2. Tends to offer support or help to others only when asked. 
3. Experiences difficulty understanding how one's words and actions may affect others' emotions.","Describe a time when you provided support or assistance to a team member or colleague who was facing personal or professional challenges. 
1. What were the specific challenges or difficulties the person was experiencing?
2. Can you provide examples of actions or resources you provided to help the person?
3. Did the person's situation improve or change as a result of your empathy and assistance?","Give an example of a time when someone approached you with their problems or concerns. 
1. As they approached you, what did you do? Were you willing to listen to their concerns?
2. What steps did you take to actively listen to this person? Did you ask questions? After the first conversation, did you follow up? 
3. What did you learn about yourself from this? What would you do differently if you had to do this again?"
Empowering others,"The ability to convey confidence in employees' ability to be successful, especially at challenging, new tasks; delegating significant responsibility and authority; allowing employees' freedom to decide how they will accomplish their goals and resolve issues.","Inspires confidence in others by acknowledging others' talents and potential for success.
1. Regularly offers learning opportunities to support others' professional development. 
2. Gives constructive feedback and encouragement to help them enhance their skills set. 
3. Equips others for success by allocating the necessary resources.","May find it difficult to provide others with the resources and feedback necessary to inspire self-confidence.
1. May become deeply involved in every element of a task and curtail others' ability to make decisions.
2. Demonstrates a lack of willingness to trust others with major responsibility and power.
3. Rarely recognizes and honors the achievements and efforts of others in accomplishing results.","Give an example of a time when you made it possible for others to stretch their abilities. 
1. What was the nature of the opportunities that you created for others? How did you encourage others to try new things?
2. How did these opportunities help other people? Did you give them feedback or helpful advice as they dealt with the new challenges? Did you provide any recognition to them?
3. What did you learn from this experience in terms of facilitating and fostering the growth of others' abilities?","Describe a time when you empowered an employee to take on a difficult assignment.
1. What was the task? How did you figure out that this person could do the job?
2. How did you empower this person to take on this assignment? What steps did you take? How did you deal with their concerns?
3. What did you take away from this experience? What would you do differently if you could do it again?"
"Energy, passion, and optimism",The attitude to take a proactive perspective and harness shifting of one's perspective with a sense of passion and hope that the outcome of some specific endeavor would be favorable.,"Displays enthusiasm for one's work by effectively allocating one's energy across multiple tasks based on their requirements. 
1. Recuperates effectively and maintains productivity at work for an extended period of time. 
2. Maintains an unwavering focus on the desirable outcomes and channels one's energy and enthusiasm towards achieving them.
3. Maintains an optimistic and cheerful attitude regardless of difficult conditions, thereby fostering fortitude and determination.","May lack the motivation and drive to act on one's ambitions and aspirations. 
1. Finds it difficult to manage one's energy levels to complete multiple tasks on a daily basis. 
2. May at times lose hope while dealing with pressure or unforeseen obstacles. 
3. May postpone tasks and responsibilities due to a lack of belief in their potential benefits.","Describe a time you found yourself losing your motivation and enthusiasm regarding a task. 
1. What was the situation? What were some of the challenges you were facing?
2. What measures did you take to sustain your motivation and enthusiasm?
3. What lessons did you take away from this experience?","Can you share a time when your energy and enthusiasm made an impact on the outcome?
1. What was the task? What was the outcome?
2. What acts or behaviors demonstrated your excitement and contributed to the outcome? 
3. What did you take away from this experience?"
